,parameters,mean,50q
91,v_subj(Neutral).1125,0.14610407759466165,0.14087820365365694
92,v_subj(Neutral).1128,-0.0324376572374928,-0.03331711991825259
93,v_subj(Neutral).1129,-0.6967622126975059,-0.6920627256197317
94,v_subj(Neutral).1130,0.18530415207492937,0.18417652028010179
95,v_subj(Neutral).1141,0.34562601216318944,0.34205382937636464
96,v_subj(Neutral).1143,0.5079523821553176,0.5009831949870496
97,v_subj(Neutral).1144,-0.06652922186694303,-0.06509216004039708
98,v_subj(Neutral).1145,0.3224326595259063,0.31542752546190145
99,v_subj(Neutral).1147,0.41323351786372703,0.41274521523503016
100,v_subj(Neutral).1148,0.2558945239521169,0.25117609249825373
101,v_subj(Neutral).1149,0.22417950880514914,0.2205583355109655
102,v_subj(Neutral).1151,0.3623765745975564,0.35216810188925085
103,v_subj(Neutral).1153,0.4723807249238266,0.47136780480985285
104,v_subj(Neutral).1155,0.44400645692596213,0.44037058741673907
105,v_subj(Neutral).1157,0.1856959872432092,0.17858282474757942
106,v_subj(Neutral).1158,0.28101621539569027,0.272842124808509
107,v_subj(Neutral).1159,0.5791129028029476,0.5673368442088806
108,v_subj(Neutral).1160,0.22908221113934626,0.23091812400503342
109,v_subj(Neutral).1161,0.5259067899816242,0.5216887133212132
110,v_subj(Neutral).1162,0.3485207852626089,0.34663796033087757
111,v_subj(Neutral).1163,0.2595328934632987,0.2516250595382118
112,v_subj(Neutral).1164,0.47382304002260583,0.4695658030730147
113,v_subj(Neutral).1166,0.29474865658995114,0.28781328777042314
114,v_subj(Neutral).1168,0.270382444851536,0.26357606585844034
115,v_subj(Neutral).1169,0.3366669201640859,0.3392930926975585
116,v_subj(Neutral).1172,-0.0475702001301845,-0.051631922831601146
117,v_subj(Neutral).1173,0.3103009135229177,0.3016297846876661
118,v_subj(Neutral).1174,0.3752202751506019,0.372077963263414
119,v_subj(Neutral).1175,0.465983897885966,0.4587522273725374
120,v_subj(Neutral).1180,0.34418725902364833,0.34561048720788246
121,v_subj(Neutral).1184,0.6059261625042799,0.5968343263054467
122,v_subj(Neutral).1188,0.5588529305184536,0.5528714662822984
123,v_subj(Neutral).1190,0.10277080471982944,0.10040598998130285
124,v_subj(Neutral).1197,0.5606794308398104,0.5573833644794453
125,v_subj(Neutral).1199,0.4513694354761201,0.45138281830961957
126,v_subj(Neutral).1200,0.5772279022870817,0.5744980429926931
127,v_subj(Neutral).1201,0.5352787540965626,0.524779167349203
128,v_subj(Neutral).1202,0.24650441945407123,0.23641337347936403
129,v_subj(Neutral).1203,0.3814022430093893,0.37800412123652694
130,v_subj(Neutral).1204,-0.03929906261615626,-0.040435025155912435
131,v_subj(Neutral).1205,0.5817843723794403,0.5795073166898841
132,v_subj(Neutral).1206,0.3628821921320166,0.3617370955865029
133,v_subj(Neutral).1207,0.22907377560650896,0.22190521417466033
134,v_subj(Neutral).1208,-0.03382215974108232,-0.03423304538246208
135,v_subj(Neutral).1214,0.507196124816138,0.5077260170749491
136,v_subj(Neutral).1217,-0.06810670109361973,-0.06812031036537197
137,v_subj(Neutral).1218,0.4157780944047642,0.406902282956043
138,v_subj(Neutral).1219,0.17971500226036763,0.17506739760439227
139,v_subj(Neutral).1220,0.396548129667396,0.38895419522909047
140,v_subj(Neutral).1222,0.2338685202862773,0.2302383281987999
141,v_subj(Neutral).1223,0.5377595130198777,0.5335932722341256
142,v_subj(Neutral).1224,0.27134256450829053,0.2706472378695892
143,v_subj(Neutral).1225,0.5380538178589945,0.5378360318608324
144,v_subj(Neutral).1226,0.45786180994409187,0.45722634201434964
145,v_subj(Neutral).1227,0.3925985535984692,0.39253367937895467
146,v_subj(Neutral).1228,0.3420115493115822,0.3342180172655739
147,v_subj(Neutral).1229,0.4116066454623237,0.403589214460359
148,v_subj(Neutral).1230,0.14862988949873007,0.1434341616527226
149,v_subj(Neutral).1231,0.42936904779000695,0.4183197739645554
150,v_subj(Neutral).1232,0.18440691921683838,0.18078689246278568
151,v_subj(Neutral).1237,0.5989734866693238,0.5914803235187338
152,v_subj(Neutral).1243,0.5241775183802824,0.5226178268429359
153,v_subj(Neutral).1247,0.14193533493472402,0.1331913187260159
154,v_subj(Neutral).1249,0.5161830066086938,0.513261735238116
155,v_subj(Stressed).1002,0.5685783987419424,0.5638184833201614
156,v_subj(Stressed).1003,0.4800721053700313,0.4718886083265767
157,v_subj(Stressed).1004,0.6564195644510179,0.6548218040734775
158,v_subj(Stressed).1005,0.19314602481148876,0.19008541893738695
159,v_subj(Stressed).1006,0.5858908068859281,0.5868611676413301
160,v_subj(Stressed).1007,0.41850614125023744,0.4170456834374965
161,v_subj(Stressed).1009,0.474504739954069,0.4759293207233535
162,v_subj(Stressed).1011,0.01927485658724291,0.018058824546060448
163,v_subj(Stressed).1012,0.43266878648050155,0.42391459489867866
164,v_subj(Stressed).1013,0.6478527730492777,0.6435496837035215
165,v_subj(Stressed).1015,-0.1185936196248344,-0.11951719991194765
166,v_subj(Stressed).1017,-0.051982958615992954,-0.05165927107277102
167,v_subj(Stressed).1018,0.6323274906633599,0.6270738305994953
168,v_subj(Stressed).1019,0.02367803820330857,0.02562710684498004
169,v_subj(Stressed).1020,0.60290553862406,0.5992247961207227
170,v_subj(Stressed).1021,0.6985399739311217,0.6898914905971849
171,v_subj(Stressed).1022,0.715342262929072,0.7186586934253676
172,v_subj(Stressed).1023,0.4918753180020525,0.4882914437681055
173,v_subj(Stressed).1024,0.28403606748789917,0.279841765626166
174,v_subj(Stressed).1025,0.31984364605994986,0.3103439547417911
175,v_subj(Stressed).1026,0.03617431542709762,0.032900356756658394
176,v_subj(Stressed).1027,0.6814002871207282,0.6804712600551002
177,v_subj(Stressed).1028,0.30742885467519077,0.2960800347760819
178,v_subj(Stressed).1030,0.5165944166198184,0.5117424532224427
179,v_subj(Stressed).1031,0.3350894825340716,0.3311160427158081
180,v_subj(Stressed).1032,0.6376421983528643,0.6329290490512545
181,v_subj(Stressed).1033,0.03895361180590748,0.03588504433366774
182,v_subj(Stressed).1034,0.6299003287676269,0.6253233229314981
183,v_subj(Stressed).1035,0.2988855114648615,0.2958525873657234
184,v_subj(Stressed).1036,0.47689815252235873,0.4733161558154255
185,v_subj(Stressed).1040,0.42029220897185465,0.4210651419902889
186,v_subj(Stressed).1042,0.06792942100118848,0.06574697159281462
187,v_subj(Stressed).1043,0.4918251795451589,0.4788835933057449
188,v_subj(Stressed).1044,0.4996953146057843,0.4956155411452763
