,parameters,mean,std,2.5q,25q,50q,75q,97.5q,mc err
463,alpha_subj(Stressed).1006,2.89228986492336,1.2918626619533062,1.0813128685835705,2.0001900751346726,2.6275597268372053,3.4812539008114256,6.356823671154047,0.09441938390304244
464,alpha_subj(Stressed).1007,2.87637672758732,1.2838474639537052,0.9395489742752545,2.017457016892426,2.6696229235545106,3.4866245834156233,6.0339357391205,0.0896414076563602
465,alpha_subj(Stressed).1009,2.906629580640793,1.3001059027822413,0.9694955406705976,2.025506069479997,2.642077752144239,3.507362172285144,6.261975015789047,0.09296937921567897
466,alpha_subj(Stressed).1011,2.862928278691666,1.303497398003086,0.9094535839259268,2.0133135968371176,2.63094822621386,3.456670010926275,6.1356942591734365,0.09353387259670212
467,alpha_subj(Stressed).1012,2.875261938064278,1.2834861945560498,0.9374138880937277,1.9663947563813262,2.635499904599144,3.5327548120809436,6.179993721406107,0.09128875463825205
468,alpha_subj(Stressed).1013,2.889150026704991,1.257781761359143,1.1123528943202583,2.022462328536986,2.640223303197021,3.4811262787519204,6.251130057970414,0.09031377918694347
469,alpha_subj(Stressed).1015,2.9144759878009183,1.2837432334077916,1.007768657674554,2.0509607143563757,2.69222864996328,3.5088634058195693,6.096185695989989,0.09046074268314518
470,alpha_subj(Stressed).1017,2.8713539524908818,1.2834158418178943,0.9447318814345238,1.985223723082898,2.65178466083023,3.448039434003439,6.235604142936737,0.08986685465283518
471,alpha_subj(Stressed).1018,2.873044471003484,1.2842453711962705,0.9950712642385898,2.0099359711120344,2.6306843540396136,3.463004896245871,6.167450824355123,0.08936787835669516
472,alpha_subj(Stressed).1019,2.847954784914518,1.2668844441354696,1.008500836245557,1.9917698083741484,2.605802454013997,3.418788978409121,6.077191882510892,0.08995055862242571
473,alpha_subj(Stressed).1020,2.94645390586329,1.262561201323369,1.2266727739022774,2.061978745685131,2.6736010577085114,3.532650232133858,6.182366155787326,0.09373558035485909
474,alpha_subj(Stressed).1021,2.8848261734118035,1.3312742050468571,0.9819659288455547,1.9931379618048155,2.6304866342978395,3.4594736417585654,6.401810587177966,0.09587468856418951
475,alpha_subj(Stressed).1022,2.884687075755765,1.3180618630292475,0.9958509858787024,1.9822217207738855,2.64681648554219,3.4503205216175497,6.431924444241318,0.09053091703854024
476,alpha_subj(Stressed).1023,2.877799775805648,1.2832926290684645,0.9713118775925367,2.003570771716482,2.6183520621122405,3.4724366578159374,6.17392871001219,0.09253860480426959
477,alpha_subj(Stressed).1024,2.8573958087939513,1.3226585885120734,0.974946443678211,1.9836560640925278,2.6051992290226944,3.4205667319794326,6.342709437238695,0.09429601126366025
478,alpha_subj(Stressed).1025,2.8727350891587964,1.2735891219786273,0.9826266058128947,1.9955056174049268,2.6597761567010574,3.465917684725328,6.11214368152414,0.08886342755868788
479,alpha_subj(Stressed).1026,2.8960238681092094,1.319206439707086,0.9872789454944912,2.0086486078402723,2.624658107214412,3.5100189312817407,6.179020213753215,0.09313103144125448
480,alpha_subj(Stressed).1027,2.9285015093557876,1.265719917517846,1.0455197562220873,2.051036475121821,2.7108023031798814,3.5208022993932824,6.1430858391679095,0.09023557539328705
