,parameters,mean,50q
80,v_subj(Neutral).1104,0.7358481809443314,0.5909716511638416
81,v_subj(Neutral).1106,0.7689218273138634,0.6643504597507058
82,v_subj(Neutral).1107,0.7797911773330237,0.6341843572655617
83,v_subj(Neutral).1109,0.8777738244490377,0.7425213833591403
84,v_subj(Neutral).1110,0.8888931190873935,0.7395241324020698
85,v_subj(Neutral).1112,0.5621435877777805,0.4230349116235803
86,v_subj(Neutral).1114,-0.09766902001716365,-0.1681279578862972
87,v_subj(Neutral).1115,0.8760611166439976,0.7129847499556584
88,v_subj(Neutral).1119,0.9863045745142942,0.8167560905748732
89,v_subj(Neutral).1123,0.4882619377273096,0.38294412471798533
90,v_subj(Neutral).1124,0.4808471099065487,0.3419287367287054
91,v_subj(Neutral).1125,0.32949467541495303,0.18943480970456905
92,v_subj(Neutral).1128,0.14994105065650043,-0.0017944180540017673
93,v_subj(Neutral).1129,-0.8684567076577856,-0.7852551020384277
94,v_subj(Neutral).1130,0.3831794869270396,0.2650308222167307
95,v_subj(Neutral).1141,0.6466409421089861,0.46458435330238146
96,v_subj(Neutral).1143,0.7275171236442046,0.60583236800245
97,v_subj(Neutral).1144,0.03957341199637652,-0.05840772759827373
98,v_subj(Neutral).1145,0.5507055927902453,0.41737930918221855
99,v_subj(Neutral).1147,0.6724231506588132,0.531120028835558
100,v_subj(Neutral).1148,0.4251902648751334,0.315394756638867
101,v_subj(Neutral).1149,0.45129974272487927,0.29891351196645766
102,v_subj(Neutral).1151,0.5778210598277748,0.451042303924473
103,v_subj(Neutral).1153,0.7336087667011455,0.5879305493729188
104,v_subj(Neutral).1155,0.6686753771300636,0.5375403197851447
105,v_subj(Neutral).1157,0.34417235114675215,0.22823233253762132
106,v_subj(Neutral).1158,0.46349376174187196,0.33856309189809486
107,v_subj(Neutral).1159,0.8771251034710154,0.6730056430833882
108,v_subj(Neutral).1160,0.4160979977006787,0.3004908986289816
109,v_subj(Neutral).1161,0.8113696962898957,0.6538744722519809
110,v_subj(Neutral).1162,0.5735951103533682,0.4339540075670268
111,v_subj(Neutral).1163,0.450083770469473,0.3135982619960063
112,v_subj(Neutral).1164,0.7308872180549166,0.5807879315666238
113,v_subj(Neutral).1166,0.5250984425827075,0.3763065224508934
114,v_subj(Neutral).1168,0.45575344423408165,0.34451493461111105
115,v_subj(Neutral).1169,0.591153993025015,0.4478189636335632
116,v_subj(Neutral).1172,0.14076016141400005,-0.01690109351506397
117,v_subj(Neutral).1173,0.5307993512882316,0.37785302901802253
118,v_subj(Neutral).1174,0.6285845168449523,0.47027367712470663
119,v_subj(Neutral).1175,0.7926217841931592,0.5679697790966867
120,v_subj(Neutral).1180,0.6031748707367564,0.4390752255567335
121,v_subj(Neutral).1184,0.8849581083072586,0.6969797352149794
122,v_subj(Neutral).1188,0.8319243101340529,0.6738273762431763
123,v_subj(Neutral).1190,0.26920603569269214,0.1431227228527877
124,v_subj(Neutral).1197,0.8225350995346142,0.6770461571623871
125,v_subj(Neutral).1199,0.7398497397643681,0.5773402548676771
126,v_subj(Neutral).1200,0.8387532790866797,0.7025299664708631
127,v_subj(Neutral).1201,0.8096495106978603,0.6410241608904245
128,v_subj(Neutral).1202,0.43955733857574325,0.29938343462593475
129,v_subj(Neutral).1203,0.6754722618060702,0.45900459377128955
130,v_subj(Neutral).1204,0.14642965541596092,-0.005723823282580587
131,v_subj(Neutral).1205,0.9153812433525248,0.6869771200509174
132,v_subj(Neutral).1206,0.6077180227815435,0.45464618309176247
133,v_subj(Neutral).1207,0.43174882876517834,0.29046725837765297
134,v_subj(Neutral).1208,0.11980184831657748,-0.004317893933427852
135,v_subj(Neutral).1214,0.7438459629858818,0.6181801936818939
136,v_subj(Neutral).1217,0.10407689682597682,-0.038755694796815954
137,v_subj(Neutral).1218,0.6190783944237458,0.4977543003226834
138,v_subj(Neutral).1219,0.41927326464131237,0.2402224066644303
139,v_subj(Neutral).1220,0.6730878396140589,0.48457279695567457
140,v_subj(Neutral).1222,0.46805305123102586,0.3249530260894418
141,v_subj(Neutral).1223,0.8233118487773662,0.6690576857716908
142,v_subj(Neutral).1224,0.43752471953936156,0.3433300593089247
143,v_subj(Neutral).1225,0.8208480772279774,0.6468207231792288
144,v_subj(Neutral).1226,0.7422014409776727,0.5833333389711499
145,v_subj(Neutral).1227,0.5995558507616525,0.47967999888160034
146,v_subj(Neutral).1228,0.5659386585543613,0.4340005549749999
147,v_subj(Neutral).1229,0.6712906405711947,0.50384871966065
148,v_subj(Neutral).1230,0.3536029864673767,0.20352130382122707
149,v_subj(Neutral).1231,0.6887870715942693,0.5112402864027009
150,v_subj(Neutral).1232,0.36367318831759515,0.23086144373900175
151,v_subj(Neutral).1237,0.8588692920984691,0.6804181112354925
152,v_subj(Neutral).1243,0.7456419798132877,0.6376220071564327
153,v_subj(Neutral).1247,0.33027668689139655,0.18791200101283545
154,v_subj(Neutral).1249,0.7746628868639538,0.6442491928076092
155,v_subj(Stressed).1002,0.8542565370415669,0.6986273974211583
156,v_subj(Stressed).1003,0.6773708594415287,0.5648864572685569
157,v_subj(Stressed).1004,0.9397260455628406,0.7823761474262326
158,v_subj(Stressed).1005,0.3175421340397051,0.21503698570727608
159,v_subj(Stressed).1006,0.8331330483133264,0.7078472966804554
160,v_subj(Stressed).1007,0.6979998480474467,0.5237989468042755
161,v_subj(Stressed).1009,0.740001750876862,0.5923748564085048
162,v_subj(Stressed).1011,0.12138069067476942,0.030441270428788414
163,v_subj(Stressed).1012,0.626918699062596,0.5197331621222792
164,v_subj(Stressed).1013,0.8985668805219406,0.7526523632221247
165,v_subj(Stressed).1015,-0.08065748174196254,-0.12486340029190979
166,v_subj(Stressed).1017,0.030095371991656406,-0.05108933098316046
167,v_subj(Stressed).1018,0.8897177774041948,0.7468792855605043
168,v_subj(Stressed).1019,0.20710275237773862,0.06071497489763067
169,v_subj(Stressed).1020,0.8262814040811628,0.7097910917471928
170,v_subj(Stressed).1021,0.9509967954433103,0.8061634741982397
171,v_subj(Stressed).1022,1.0178823864126523,0.852393200879505
172,v_subj(Stressed).1023,0.6999002415082778,0.5918886284357354
173,v_subj(Stressed).1024,0.41051679137715724,0.3282579051334988
174,v_subj(Stressed).1025,0.4971837409017216,0.3835347105821387
175,v_subj(Stressed).1026,0.1365458156605382,0.049631420325885856
176,v_subj(Stressed).1027,1.024428585384601,0.8186462143742594
177,v_subj(Stressed).1028,0.5452872895530634,0.38794285775577514
178,v_subj(Stressed).1030,0.7702737029820801,0.6222110004336698
179,v_subj(Stressed).1031,0.5699444278747244,0.4331857589402958
180,v_subj(Stressed).1032,0.9255759943548915,0.7563155171053504
181,v_subj(Stressed).1033,0.1426362799916822,0.05423680664304653
182,v_subj(Stressed).1034,0.8452036827757872,0.7212985550820024
183,v_subj(Stressed).1035,0.4549212935229654,0.35022141288624953
184,v_subj(Stressed).1036,0.7240009478887468,0.589551066401754
185,v_subj(Stressed).1040,0.6224718722024414,0.5012786977708961
186,v_subj(Stressed).1042,0.24410566169238881,0.10561579299640134
187,v_subj(Stressed).1043,0.7718597888049213,0.5789941458669643
188,v_subj(Stressed).1044,0.7219823472282266,0.6040022418731303
189,v_subj(Stressed).1047,0.803250589572547,0.6499769195162972
190,v_subj(Stressed).1048,0.2357102164212056,0.10336604945370303
191,v_subj(Stressed).1049,0.29503841246013834,0.23663511733485376
192,v_subj(Stressed).1050,0.5338410535373843,0.41793634467414453
193,v_subj(Stressed).1051,0.6272741082787855,0.42075715206338316
194,v_subj(Stressed).1052,0.07229209745402958,0.015018530237601135
